date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:06:10	2252793/2252793	---M--	200	added ('OK')	image/png	etag:%22874e213ff0a6003ea9f37d84f1a05655%22	https://assets-global.website-files.com/6296255d9030be506dc09bb7/6319e9102149368d521b0871_Screen%20Shot%202022-09-07%20at%208.14.56%20PM.png	C:/My%20Web%20Sites/arkham/assets-global.website-files.com/6296255d9030be506dc09bb7/6319e9102149368d521b0871_Screen%20Shot%202022-09-07%20at%208.14.56%20PM.png	(from https://www.arkhamintelligence.com/terms-of-service)
15:06:11	2861935/2861935	---M--	200	added ('OK')	image/png	etag:%224273f6745e709d552601abe86d49c941%22	https://assets-global.website-files.com/6296255d9030be506dc09bb7/6319e908431135a45b8bb9da_Screen%20Shot%202022-09-07%20at%208.14.26%20PM.png	C:/My%20Web%20Sites/arkham/assets-global.website-files.com/6296255d9030be506dc09bb7/6319e908431135a45b8bb9da_Screen%20Shot%202022-09-07%20at%208.14.26%20PM.png	(from https://www.arkhamintelligence.com/terms-of-service)
15:06:12	2903731/2903731	---M--	200	added ('OK')	image/png	etag:%229bc55f151c8e20c47075cb08abc8b8e1%22	https://assets-global.website-files.com/6296255d9030be506dc09bb7/6319e8f745a32877b48f4a16_Screen%20Shot%202022-09-07%20at%208.14.08%20PM.png	C:/My%20Web%20Sites/arkham/assets-global.website-files.com/6296255d9030be506dc09bb7/6319e8f745a32877b48f4a16_Screen%20Shot%202022-09-07%20at%208.14.08%20PM.png	(from https://www.arkhamintelligence.com/terms-of-service)
15:06:14	3321809/3321809	---M--	200	added ('OK')	image/png	etag:%2256aa20a7a4a3fcaf00d1793fd886118e%22	https://assets-global.website-files.com/6296255d9030be506dc09bb7/6319e8e5d4a7cfb1fc5e284c_Screen%20Shot%202022-09-07%20at%208.13.52%20PM.png	C:/My%20Web%20Sites/arkham/assets-global.website-files.com/6296255d9030be506dc09bb7/6319e8e5d4a7cfb1fc5e284c_Screen%20Shot%202022-09-07%20at%208.13.52%20PM.png	(from https://www.arkhamintelligence.com/terms-of-service)
15:06:17	743024/743024	---M--	200	added ('OK')	image/png	etag:%2240955c7f5b86810bc14705453de23eb8%22	https://assets-global.website-files.com/6296255d9030be506dc09bb7/6319e8ac4c793630ddec101d_Screen%20Shot%202022-09-07%20at%208.11.32%20PM.png	C:/My%20Web%20Sites/arkham/assets-global.website-files.com/6296255d9030be506dc09bb7/6319e8ac4c793630ddec101d_Screen%20Shot%202022-09-07%20at%208.11.32%20PM.png	(from https://www.arkhamintelligence.com/terms-of-service)
15:06:17	877337/877337	---M--	200	added ('OK')	image/png	etag:%22ca6792b0e469d400645ca39046737620%22	https://assets-global.website-files.com/6296255d9030be506dc09bb7/6319e8d6b9581046b3adb1b0_Screen%20Shot%202022-09-07%20at%208.13.38%20PM.png	C:/My%20Web%20Sites/arkham/assets-global.website-files.com/6296255d9030be506dc09bb7/6319e8d6b9581046b3adb1b0_Screen%20Shot%202022-09-07%20at%208.13.38%20PM.png	(from https://www.arkhamintelligence.com/terms-of-service)
15:06:19	2551953/2551953	---M--	200	added ('OK')	image/png	etag:%22ac3a795a214975e6008aee8d255cd125%22	https://assets-global.website-files.com/6296255d9030be506dc09bb7/6319d6be9f73660e61f6e826_Screen%20Shot%202022-09-07%20at%208.10.14%20PM.png	C:/My%20Web%20Sites/arkham/assets-global.website-files.com/6296255d9030be506dc09bb7/6319d6be9f73660e61f6e826_Screen%20Shot%202022-09-07%20at%208.10.14%20PM.png	(from https://www.arkhamintelligence.com/terms-of-service)
15:06:20	3730634/3730634	---M--	200	added ('OK')	image/png	etag:%226b5872699c0eac3c1e6555d21996aa53%22	https://assets-global.website-files.com/6296255d9030be506dc09bb7/6319d6b3ac09725db0a21dbf_Screen%20Shot%202022-09-07%20at%208.09.45%20PM.png	C:/My%20Web%20Sites/arkham/assets-global.website-files.com/6296255d9030be506dc09bb7/6319d6b3ac09725db0a21dbf_Screen%20Shot%202022-09-07%20at%208.09.45%20PM.png	(from https://www.arkhamintelligence.com/terms-of-service)
15:06:22	2256952/2256952	---M--	200	added ('OK')	image/png	etag:%22859f85cf61571070b267bdbd6b6bf84e%22	https://assets-global.website-files.com/6296255d9030be506dc09bb7/6319e8c39f7366cc47f7c64d_Screen%20Shot%202022-09-07%20at%208.13.12%20PM.png	C:/My%20Web%20Sites/arkham/assets-global.website-files.com/6296255d9030be506dc09bb7/6319e8c39f7366cc47f7c64d_Screen%20Shot%202022-09-07%20at%208.13.12%20PM.png	(from https://www.arkhamintelligence.com/terms-of-service)
15:06:22	2572001/2572001	---M--	200	added ('OK')	image/png	etag:%220c24d6f5167f5d725282359344d65e35%22	https://assets-global.website-files.com/6296255d9030be506dc09bb7/6319d620aa567c433168d767_Screen%20Shot%202022-09-07%20at%208.06.43%20PM.png	C:/My%20Web%20Sites/arkham/assets-global.website-files.com/6296255d9030be506dc09bb7/6319d620aa567c433168d767_Screen%20Shot%202022-09-07%20at%208.06.43%20PM.png	(from https://www.arkhamintelligence.com/terms-of-service)
15:06:22	2103038/2103038	---M--	200	added ('OK')	image/png	etag:%22f314513e19b4e933519b595d17311aa5%22	https://assets-global.website-files.com/6296255d9030be506dc09bb7/6319d60fca64f3aa38a4fed0_Screen%20Shot%202022-09-07%20at%208.05.45%20PM.png	C:/My%20Web%20Sites/arkham/assets-global.website-files.com/6296255d9030be506dc09bb7/6319d60fca64f3aa38a4fed0_Screen%20Shot%202022-09-07%20at%208.05.45%20PM.png	(from https://www.arkhamintelligence.com/terms-of-service)
15:06:23	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Fri,%2008%20Sep%202023%2013:06:23%20GMT	https://www.arkhamintelligence.com/popover.css	C:/My%20Web%20Sites/arkham/www.arkhamintelligence.com/popover.4e.delayed	(from https://embed.typeform.com/next/embed.js)
15:06:23	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Fri,%2008%20Sep%202023%2013:06:24%20GMT	https://www.arkhamintelligence.com/popup.css	C:/My%20Web%20Sites/arkham/www.arkhamintelligence.com/popup.css	(from https://embed.typeform.com/next/embed.js)
